ratio15/10Delta_Point_87_x/Delta_Point_87_y,3+/-4
FNM300Delta_Point_88_x/Delta_Point_88_y,(6+/-6)e+02
Sum300_Delta_Point_89_x/Delta_Point_89_y,
NewColumnDelta_Point_89_x/Delta_Point_89_y,2.0+/-2.8
FNM450Delta_Point_90_x/Delta_Point_90_y,(1.5+/-1.7)e+03
Sum450_Delta_Point_91_x/Delta_Point_91_y,
RMSDelta_Point_92_x/Delta_Point_92_y,
ratio10/5Delta_Point_92_x/Delta_Point_92_y,2+/-4
FNM150Delta_Point_93_x/Delta_Point_93_y,(5+/-7)e+02
Sum150_Delta_Point_94_x/Delta_Point_94_y,
ratio15/10Delta_Point_94_x/Delta_Point_94_y,3+/-5
FNM300Delta_Point_95_x/Delta_Point_95_y,(1.5+/-1.5)e+03
Sum300_Delta_Point_96_x/Delta_Point_96_y,
NewColumnDelta_Point_96_x/Delta_Point_96_y,2.0+/-2.8
FNM450Delta_Point_97_x/Delta_Point_97_y,(2.3+/-2.3)e+03
FNM150Delta_Point_98_x/Delta_Point_98_y,(8+/-9)e+02
Sum150_Delta_Point_99_x/Delta_Point_99_y,
ratio15/10Delta_Point_99_x/Delta_Point_99_y,3+/-5
FNM300Delta_Point_100_x/Delta_Point_100_y,(1.6+/-1.3)e+03
Sum300_Delta_Point_101_x/Delta_Point_101_y,
RMSDelta_Point_102_x/Delta_Point_102_y,
ratio10/5Delta_Point_102_x/Delta_Point_102_y,2.0+/-2.8
FNM150Delta_Point_103_x/Delta_Point_103_y,(5+/-6)e+02
Sum150_Delta_Point_104_x/Delta_Point_104_y,
ratio15/10Delta_Point_104_x/Delta_Point_104_y,3+/-4
FNM450Delta_Point_105_x/Delta_Point_105_y,(1.9+/-1.9)e+03
FNM150Delta_Point_106_x/Delta_Point_106_y,(6+/-5)e+02
Sum150_Delta_Point_107_x/Delta_Point_107_y,
ratio15/10Delta_Point_107_x/Delta_Point_107_y,3+/-4
FNM300Delta_Point_108_x/Delta_Point_108_y,(1.0+/-0.8)e+03
Sum450_Delta_Point_109_x/Delta_Point_109_y,
Sum150_Delta_Point_110_x/Delta_Point_110_y,
